"","folder","lambda","mu","nu","q","cond","crown_age","seed"
"1","data/0.2-0-0-0.1/1",0.2,0,0,0.1,1,2,1
"2","data/0.2-0-0-0.1/2",0.2,0,0,0.1,1,2,2
"3","data/0.2-0-0-0.15/17",0.2,0,0,0.15,1,2,17
"4","data/0.2-0-0-0.15/18",0.2,0,0,0.15,1,2,18
"5","data/0.2-0-0-0.2/33",0.2,0,0,0.2,1,2,33
"6","data/0.2-0-0-0.2/34",0.2,0,0,0.2,1,2,34
"7","data/0.2-0-0.5-0.1/5",0.2,0,0.5,0.1,1,2,5
"8","data/0.2-0-0.5-0.1/6",0.2,0,0.5,0.1,1,2,6
"9","data/0.2-0-0.5-0.15/21",0.2,0,0.5,0.15,1,2,21
"10","data/0.2-0-0.5-0.15/22",0.2,0,0.5,0.15,1,2,22
"11","data/0.2-0-0.5-0.2/37",0.2,0,0.5,0.2,1,2,37
"12","data/0.2-0-0.5-0.2/38",0.2,0,0.5,0.2,1,2,38
"13","data/0.2-0-1-0.1/10",0.2,0,1,0.1,1,2,10
"14","data/0.2-0-1-0.1/9",0.2,0,1,0.1,1,2,9
"15","data/0.2-0-1-0.15/25",0.2,0,1,0.15,1,2,25
"16","data/0.2-0-1-0.15/26",0.2,0,1,0.15,1,2,26
"17","data/0.2-0-1-0.2/41",0.2,0,1,0.2,1,2,41
"18","data/0.2-0-1-0.2/42",0.2,0,1,0.2,1,2,42
"19","data/0.2-0-2-0.1/13",0.2,0,2,0.1,1,2,13
"20","data/0.2-0-2-0.1/14",0.2,0,2,0.1,1,2,14
"21","data/0.2-0-2-0.15/29",0.2,0,2,0.15,1,2,29
"22","data/0.2-0-2-0.15/30",0.2,0,2,0.15,1,2,30
"23","data/0.2-0-2-0.2/45",0.2,0,2,0.2,1,2,45
"24","data/0.2-0-2-0.2/46",0.2,0,2,0.2,1,2,46
"25","data/0.2-0.15-0-0.1/3",0.2,0.15,0,0.1,1,2,3
"26","data/0.2-0.15-0-0.1/4",0.2,0.15,0,0.1,1,2,4
"27","data/0.2-0.15-0-0.15/19",0.2,0.15,0,0.15,1,2,19
"28","data/0.2-0.15-0-0.15/20",0.2,0.15,0,0.15,1,2,20
"29","data/0.2-0.15-0-0.2/35",0.2,0.15,0,0.2,1,2,35
"30","data/0.2-0.15-0-0.2/36",0.2,0.15,0,0.2,1,2,36
"31","data/0.2-0.15-0.5-0.1/7",0.2,0.15,0.5,0.1,1,2,7
"32","data/0.2-0.15-0.5-0.1/8",0.2,0.15,0.5,0.1,1,2,8
"33","data/0.2-0.15-0.5-0.15/23",0.2,0.15,0.5,0.15,1,2,23
"34","data/0.2-0.15-0.5-0.15/24",0.2,0.15,0.5,0.15,1,2,24
"35","data/0.2-0.15-0.5-0.2/39",0.2,0.15,0.5,0.2,1,2,39
"36","data/0.2-0.15-0.5-0.2/40",0.2,0.15,0.5,0.2,1,2,40
"37","data/0.2-0.15-1-0.1/11",0.2,0.15,1,0.1,1,2,11
"38","data/0.2-0.15-1-0.1/12",0.2,0.15,1,0.1,1,2,12
"39","data/0.2-0.15-1-0.15/27",0.2,0.15,1,0.15,1,2,27
"40","data/0.2-0.15-1-0.15/28",0.2,0.15,1,0.15,1,2,28
"41","data/0.2-0.15-1-0.2/43",0.2,0.15,1,0.2,1,2,43
"42","data/0.2-0.15-1-0.2/44",0.2,0.15,1,0.2,1,2,44
"43","data/0.2-0.15-2-0.1/15",0.2,0.15,2,0.1,1,2,15
"44","data/0.2-0.15-2-0.1/16",0.2,0.15,2,0.1,1,2,16
"45","data/0.2-0.15-2-0.15/31",0.2,0.15,2,0.15,1,2,31
"46","data/0.2-0.15-2-0.15/32",0.2,0.15,2,0.15,1,2,32
"47","data/0.2-0.15-2-0.2/47",0.2,0.15,2,0.2,1,2,47
"48","data/0.2-0.15-2-0.2/48",0.2,0.15,2,0.2,1,2,48
