"","folder","ess_likelihood","tree","best_or_gen"
"1","data/0.2-0-0-0.1/1",901,"true","gen"
"2","data/0.2-0-0-0.1/1",700,"true","best"
"3","data/0.2-0-0-0.1/1",901,"twin","gen"
"4","data/0.2-0-0-0.1/1",11,"twin","best"
"5","data/0.2-0-0-0.1/2",901,"true","gen"
"6","data/0.2-0-0-0.1/2",221,"true","best"
"7","data/0.2-0-0-0.1/2",806,"twin","gen"
"8","data/0.2-0-0-0.1/2",8,"twin","best"
"9","data/0.2-0-0-0.15/21",700,"true","gen"
"10","data/0.2-0-0-0.15/21",780,"true","best"
"11","data/0.2-0-0-0.15/21",624,"twin","gen"
"12","data/0.2-0-0-0.15/21",3,"twin","best"
"13","data/0.2-0-0-0.15/22",901,"true","gen"
"14","data/0.2-0-0-0.15/22",897,"true","best"
"15","data/0.2-0-0-0.15/22",633,"twin","gen"
"16","data/0.2-0-0-0.15/22",243,"twin","best"
"17","data/0.2-0-0-0.2/41",901,"true","gen"
"18","data/0.2-0-0-0.2/41",809,"true","best"
"19","data/0.2-0-0-0.2/41",887,"twin","gen"
"20","data/0.2-0-0-0.2/41",901,"twin","best"
"21","data/0.2-0-0-0.2/42",52,"true","gen"
"22","data/0.2-0-0-0.2/42",614,"true","best"
"23","data/0.2-0-0-0.2/42",726,"twin","gen"
"24","data/0.2-0-0-0.2/42",809,"twin","best"
"25","data/0.2-0-0.5-0.1/5",230,"true","gen"
"26","data/0.2-0-0.5-0.1/5",536,"true","best"
"27","data/0.2-0-0.5-0.1/5",901,"twin","gen"
"28","data/0.2-0-0.5-0.1/5",855,"twin","best"
"29","data/0.2-0-0.5-0.1/6",456,"true","gen"
"30","data/0.2-0-0.5-0.1/6",494,"true","best"
"31","data/0.2-0-0.5-0.1/6",484,"twin","gen"
"32","data/0.2-0-0.5-0.1/6",540,"twin","best"
"33","data/0.2-0-0.5-0.15/25",901,"true","gen"
"34","data/0.2-0-0.5-0.15/25",901,"true","best"
"35","data/0.2-0-0.5-0.15/25",804,"twin","gen"
"36","data/0.2-0-0.5-0.15/25",901,"twin","best"
"37","data/0.2-0-0.5-0.15/26",682,"true","gen"
"38","data/0.2-0-0.5-0.15/26",858,"true","best"
